iter	Accuracy	MultiClass
0	0.631242509	1.073578318
1	0.6316420296	1.051217442
2	0.6304434678	1.031635694
3	0.6304434678	1.012814762
4	0.6308429884	0.9966226288
5	0.6300439473	0.9823990154
6	0.6304434678	0.9682514396
7	0.6300439473	0.9555782778
8	0.6300439473	0.9440853984
9	0.6308429884	0.9327444875
10	0.6308429884	0.9225709681
11	0.6308429884	0.9132413934
12	0.6300439473	0.9037274625
13	0.6300439473	0.8953673047
14	0.6300439473	0.8867535298
15	0.6300439473	0.8793345422
16	0.6300439473	0.8723401871
17	0.6296444267	0.8659218833
18	0.6296444267	0.8599515541
19	0.6316420296	0.8544406788
20	0.6308429884	0.8493689091
21	0.6316420296	0.8442691778
22	0.6324410707	0.8395910905
23	0.6328405913	0.8354714061
24	0.6332401119	0.8315044109
25	0.6328405913	0.8277264475
26	0.6328405913	0.8241021365
27	0.6344386736	0.8204649959
28	0.634039153	0.8174447919
29	0.6348381942	0.8145051067
30	0.6348381942	0.811514933
31	0.6352377147	0.8086195482
32	0.6352377147	0.8059361462
33	0.6352377147	0.8034443475
34	0.6348381942	0.8008654982
35	0.6352377147	0.7977890607
36	0.6360367559	0.7955040653
37	0.6356372353	0.793199196
38	0.6396324411	0.7908698502
39	0.6392329205	0.7889623361
40	0.6400319616	0.7869919715
41	0.6408310028	0.7853901533
42	0.6404314822	0.7829032781
43	0.6416300439	0.7812236394
44	0.6416300439	0.7794355493
45	0.6412305234	0.7778896722
46	0.6432281262	0.7758294588
47	0.6436276468	0.7738094288
48	0.644426688	0.7724148182
49	0.6440271674	0.7711052553
50	0.6448262085	0.7696969297
