iter	Accuracy	MultiClass
0	0.6336396324	1.073536056
1	0.6316420296	1.051513913
2	0.6304434678	1.031825459
3	0.631242509	1.013061415
4	0.6308429884	0.9967152376
5	0.6308429884	0.9830215496
6	0.6304434678	0.9694572823
7	0.6304434678	0.9561736508
8	0.6304434678	0.9449683001
9	0.6304434678	0.9337730381
10	0.6304434678	0.923435417
11	0.6304434678	0.912975896
12	0.6304434678	0.904518959
13	0.6304434678	0.8966583181
14	0.6304434678	0.8879399896
15	0.6308429884	0.8813770988
16	0.6308429884	0.8745477937
17	0.6308429884	0.867721987
18	0.6308429884	0.861724384
19	0.6308429884	0.856239315
20	0.6316420296	0.8509516156
21	0.6320415501	0.8456216673
22	0.6316420296	0.8407962785
23	0.6320415501	0.8364374061
24	0.6320415501	0.8325267204
25	0.6316420296	0.8286830827
26	0.6324410707	0.8250391533
27	0.6332401119	0.8215656643
28	0.6328405913	0.8184915941
29	0.6332401119	0.8150108193
30	0.634039153	0.812175144
31	0.6356372353	0.809522044
32	0.6344386736	0.8068893407
33	0.6348381942	0.8041691007
34	0.6356372353	0.8012631642
35	0.6352377147	0.7985701673
36	0.6360367559	0.7965295723
37	0.6384338793	0.7940345475
38	0.6392329205	0.7916587335
39	0.6408310028	0.789831811
40	0.6412305234	0.7881170984
41	0.6412305234	0.7861991915
42	0.6408310028	0.7843570512
43	0.6420295645	0.7824625113
44	0.6416300439	0.7806955406
45	0.6436276468	0.778642522
46	0.6456252497	0.777340959
47	0.6464242909	0.7751996991
48	0.6480223732	0.7732266214
49	0.6480223732	0.7717553075
50	0.6476228526	0.7701921531
51	0.6484218937	0.7684968824
52	0.6476228526	0.7668538009
53	0.6480223732	0.7655930411
54	0.6476228526	0.7639178696
55	0.6496204555	0.7626821901
56	0.6488214143	0.7615519429
57	0.6484218937	0.7603027698
58	0.6488214143	0.7586072494
59	0.6488214143	0.7570525604
60	0.650019976	0.7560954193
61	0.6508190172	0.7546089573
62	0.6512185378	0.7532036923
63	0.6520175789	0.7519165603
64	0.6524170995	0.750603152
65	0.6536156612	0.7492154129
66	0.6552137435	0.7483473434
67	0.6540151818	0.7473282547
68	0.6536156612	0.7463419098
69	0.6556132641	0.7453255235
70	0.6544147024	0.7440655797
71	0.6540151818	0.7431859175
72	0.6540151818	0.741905381
73	0.6564123052	0.7412572148
74	0.6564123052	0.7400165819
75	0.6572113464	0.7388863081
76	0.6572113464	0.7375093339
77	0.6568118258	0.73687193
78	0.6580103875	0.7360121815
79	0.6580103875	0.7351611233
80	0.6584099081	0.7345781714
81	0.6588094287	0.7335843946
82	0.6596084698	0.7327934994
83	0.6600079904	0.7319049315
84	0.6592089493	0.7310508053
85	0.660407511	0.7297773152
86	0.6612065521	0.7292516158
87	0.6596084698	0.7285883385
88	0.6608070316	0.7273934541
89	0.6612065521	0.7267434467
90	0.6612065521	0.7259265664
91	0.6640031962	0.7249032304
92	0.6636036756	0.7237496468
93	0.6636036756	0.7232205442
94	0.666000799	0.7221009453
95	0.6652017579	0.7216862152
