iter	Accuracy	MultiClass
0	0.6339321357	1.073159385
1	0.6331337325	1.05019042
2	0.6327345309	1.03039959
3	0.6335329341	1.011352106
4	0.6339321357	0.9946025485
5	0.6335329341	0.9805655802
6	0.6339321357	0.9661719957
7	0.6335329341	0.9533242675
8	0.6335329341	0.9419270695
9	0.6331337325	0.9306241977
10	0.6343313373	0.9199565621
11	0.6339321357	0.9100006889
12	0.6339321357	0.9008442485
13	0.6335329341	0.892432051
14	0.6335329341	0.8837297927
15	0.6335329341	0.8771425616
16	0.6335329341	0.8701616763
17	0.6335329341	0.8632631412
18	0.6339321357	0.8573223294
19	0.6339321357	0.8514863933
20	0.6339321357	0.8456882659
21	0.6339321357	0.8404218274
22	0.6343313373	0.8358184971
23	0.6343313373	0.8315226836
24	0.6343313373	0.8276075075
25	0.6343313373	0.823867259
26	0.6347305389	0.8202169071
27	0.6343313373	0.8161870466
28	0.6343313373	0.8133681196
29	0.6339321357	0.8102762403
30	0.6343313373	0.8074809482
31	0.6339321357	0.804188558
32	0.6339321357	0.8015943253
33	0.6343313373	0.7990928223
34	0.6343313373	0.7960174946
35	0.6351297405	0.7937178653
36	0.6347305389	0.7917048743
37	0.6347305389	0.7894133502
38	0.6347305389	0.7872381199
39	0.6355289421	0.7854043872
40	0.6351297405	0.7833488944
41	0.6351297405	0.7815144273
42	0.6363273453	0.7795875287
43	0.6363273453	0.7775000785
44	0.6363273453	0.7761466438
45	0.6355289421	0.7742870425
46	0.6391217565	0.7726454615
47	0.6395209581	0.7707432435
48	0.6403193613	0.7689873533
49	0.6411177645	0.7677193384
50	0.6407185629	0.7662400132
51	0.6411177645	0.7648230643
52	0.6419161677	0.7632654206
53	0.6423153693	0.7618961357
54	0.6431137725	0.7606153365
55	0.6427145709	0.7596158204
56	0.6419161677	0.7585440963
57	0.6427145709	0.7572036632
58	0.6435129741	0.7557761322
59	0.6439121756	0.7549615225
60	0.6439121756	0.7539273348
61	0.6451097804	0.7527999414
62	0.6451097804	0.7520780647
63	0.6467065868	0.7510347701
64	0.6467065868	0.7500346174
65	0.6467065868	0.7485990798
66	0.6467065868	0.7473922635
67	0.6471057884	0.7463860699
68	0.6467065868	0.7453528484
69	0.64750499	0.7442266469
70	0.6502994012	0.7430003854
71	0.6502994012	0.7420722068
72	0.6487025948	0.7414091264
73	0.6499001996	0.7405877298
74	0.6502994012	0.7399337315
75	0.6506986028	0.7392343783
76	0.6510978044	0.7382216164
77	0.6518962076	0.7375696601
78	0.6526946108	0.7366030106
79	0.6522954092	0.7357063027
80	0.6518962076	0.7352072582
81	0.6542914172	0.7344222878
82	0.6542914172	0.7333568474
83	0.6550898204	0.7325352691
84	0.6562874251	0.7316490705
85	0.6574850299	0.7308705658
86	0.6574850299	0.7302943334
87	0.6578842315	0.729603165
88	0.6570858283	0.7288948531
89	0.6574850299	0.7280231799
90	0.6578842315	0.7271201158
91	0.6594810379	0.7263219314
92	0.6602794411	0.7256843437
93	0.6606786427	0.7251040862
94	0.6622754491	0.7239281599
95	0.6626746507	0.7234992301
96	0.6630738523	0.7229421499
97	0.6626746507	0.7221380813
98	0.6638722555	0.7212428103
99	0.6650698603	0.7201870562
100	0.6646706587	0.7192087562
101	0.6666666667	0.7184699212
102	0.6674650699	0.7177315621
103	0.6670658683	0.7173160153
104	0.6654690619	0.7164746076
105	0.6678642715	0.7155480379
106	0.6690618762	0.714739161
107	0.6690618762	0.7140926754
108	0.6710578842	0.7134096211
109	0.6726546906	0.7124930032
110	0.6738522954	0.7117533489
111	0.674251497	0.7109986367
112	0.6746506986	0.7103480214
113	0.6754491018	0.7094821555
114	0.6754491018	0.7089450541
115	0.6754491018	0.7083735825
116	0.6758483034	0.7076981543
117	0.6766467066	0.7072027395
118	0.6774451098	0.7064966127
119	0.6778443114	0.7058850179
120	0.6774451098	0.7052694239
121	0.678243513	0.7045947979
122	0.6794411178	0.7039671455
123	0.6794411178	0.7027241478
124	0.6818363273	0.7020818853
125	0.6830339321	0.700857008
126	0.6830339321	0.7003336978
127	0.6818363273	0.6995319522
128	0.6830339321	0.6984170832
129	0.6826347305	0.6977074472
130	0.6826347305	0.6969069315
131	0.6830339321	0.6962737905
132	0.6826347305	0.6957681356
133	0.6826347305	0.6954008865
134	0.6838323353	0.6946279541
135	0.6842315369	0.693756689
136	0.6846307385	0.693219743
137	0.6858283433	0.6925935764
138	0.6858283433	0.6919541194
139	0.6874251497	0.6913449554
140	0.6882235529	0.6907322793
141	0.6870259481	0.6898442034
142	0.6890219561	0.6892209839
143	0.6878243513	0.6885350875
144	0.6862275449	0.6878848362
145	0.6858283433	0.6867532142
146	0.6878243513	0.686124123
147	0.6890219561	0.6855160885
148	0.6898203593	0.6846562672
149	0.6922155689	0.6834784511
150	0.6934131737	0.6827706991
151	0.6946107784	0.6819044585
152	0.6978043912	0.6809277225
153	0.6974051896	0.6803657003
154	0.6966067864	0.679861411
155	0.6994011976	0.6792211072
156	0.6998003992	0.6781572797
157	0.6998003992	0.6773736683
158	0.7013972056	0.6764044474
159	0.7017964072	0.6758714142
160	0.7025948104	0.6751040998
161	0.7013972056	0.6743087333
162	0.7025948104	0.6738887472
163	0.7025948104	0.6734626473
164	0.7021956088	0.6730643351
165	0.7045908184	0.6725329419
166	0.70499002	0.6719789294
