iter	Accuracy	MultiClass
0	0.6304434678	1.074110796
1	0.6296444267	1.051570286
2	0.6276468238	1.032582643
3	0.6276468238	1.014208015
4	0.6272473032	0.9981940005
5	0.6272473032	0.9840889555
6	0.6276468238	0.9710951931
7	0.6280463444	0.9582300982
8	0.6272473032	0.9469755719
9	0.6272473032	0.9358651594
10	0.6268477827	0.9258420058
11	0.6280463444	0.9155961751
12	0.6276468238	0.9066591353
13	0.6276468238	0.8981712598
14	0.6280463444	0.8899257158
15	0.6296444267	0.8824506557
16	0.6324410707	0.8756316346
17	0.6316420296	0.8686482543
18	0.6320415501	0.8624978515
19	0.6296444267	0.8566663543
20	0.6324410707	0.8513013104
21	0.6320415501	0.8462869711
22	0.6316420296	0.8422986862
23	0.6320415501	0.8379724825
24	0.6320415501	0.8340175714
25	0.6320415501	0.830474434
26	0.6324410707	0.8272531412
27	0.6324410707	0.8240584074
28	0.6324410707	0.8210680158
29	0.6320415501	0.8180570483
30	0.6324410707	0.815006314
31	0.6320415501	0.8123481667
32	0.6324410707	0.8092229322
33	0.6320415501	0.806711514
34	0.631242509	0.8042879645
35	0.631242509	0.8019327521
36	0.6316420296	0.7997746145
37	0.6316420296	0.7975227194
38	0.6316420296	0.7950330028
39	0.631242509	0.7931761212
40	0.6320415501	0.791623754
41	0.6320415501	0.7898818253
42	0.6328405913	0.7878314839
43	0.6324410707	0.7860322462
44	0.6324410707	0.7849470637
45	0.6328405913	0.7832445593
46	0.6344386736	0.7818807294
47	0.634039153	0.7802080534
48	0.6344386736	0.7787697638
49	0.6348381942	0.7770117902
50	0.6348381942	0.7754910783
51	0.6364362765	0.7743125898
